Id,SleepDay,TotalSleepRecords,TotalHourAsleep,TotalHourInBed,HoursAwakeInBed,DayName,TotalMinutesAsleep,TotalTimeInBed,MinutesAwakeInBed
1503960366,"2016-04-12 00:00:00",1,5.45,5.76667,0.316667,Tuesday,327,346,19
1503960366,"2016-04-13 00:00:00",2,6.4,6.78333,0.383333,Wednesday,384,407,23
1503960366,"2016-04-15 00:00:00",1,6.86667,7.36667,0.5,Friday,412,442,30
1503960366,"2016-04-16 00:00:00",2,5.66667,6.11667,0.45,Saturday,340,367,27
1503960366,"2016-04-17 00:00:00",1,11.6667,11.8667,0.2,Sunday,700,712,12
1503960366,"2016-04-19 00:00:00",1,5.06667,5.33333,0.266667,Tuesday,304,320,16
1503960366,"2016-04-20 00:00:00",1,6,6.28333,0.283333,Wednesday,360,377,17
1503960366,"2016-04-21 00:00:00",1,5.41667,6.06667,0.65,Thursday,325,364,39
1503960366,"2016-04-23 00:00:00",1,6.01667,6.4,0.383333,Saturday,361,384,23
1503960366,"2016-04-24 00:00:00",1,7.16667,7.48333,0.316667,Sunday,430,449,19
1503960366,"2016-04-25 00:00:00",1,4.61667,5.38333,0.766667,Monday,277,323,46
1503960366,"2016-04-26 00:00:00",1,4.08333,4.56667,0.483333,Tuesday,245,274,29
1503960366,"2016-04-28 00:00:00",1,6.1,6.55,0.45,Thursday,366,393,27
1503960366,"2016-04-29 00:00:00",1,5.68333,5.9,0.216667,Friday,341,354,13
1503960366,"2016-04-30 00:00:00",1,6.73333,7.08333,0.35,Saturday,404,425,21
1503960366,"2016-05-01 00:00:00",1,6.15,6.6,0.45,Sunday,369,396,27
1503960366,"2016-05-02 00:00:00",1,4.61667,5.15,0.533333,Monday,277,309,32
1503960366,"2016-05-03 00:00:00",1,4.55,4.93333,0.383333,Tuesday,273,296,23
1503960366,"2016-05-05 00:00:00",1,4.11667,4.4,0.283333,Thursday,247,264,17
1503960366,"2016-05-06 00:00:00",1,5.56667,6.11667,0.55,Friday,334,367,33
1503960366,"2016-05-07 00:00:00",1,5.51667,5.81667,0.3,Saturday,331,349,18
1503960366,"2016-05-08 00:00:00",1,9.9,10.1833,0.283333,Sunday,594,611,17
1503960366,"2016-05-09 00:00:00",1,5.63333,5.7,0.0666667,Monday,338,342,4
1503960366,"2016-05-10 00:00:00",1,6.38333,6.71667,0.333333,Tuesday,383,403,20
1503960366,"2016-05-11 00:00:00",1,4.75,5.1,0.35,Wednesday,285,306,21
1644430081,"2016-04-29 00:00:00",1,1.98333,2.11667,0.133333,Friday,119,127,8
1644430081,"2016-04-30 00:00:00",1,2.06667,2.36667,0.3,Saturday,124,142,18
1644430081,"2016-05-02 00:00:00",1,13.2667,16.0167,2.75,Monday,796,961,165
1644430081,"2016-05-08 00:00:00",1,2.28333,2.56667,0.283333,Sunday,137,154,17
1844505072,"2016-04-15 00:00:00",1,10.7333,16.0167,5.28333,Friday,644,961,317
1844505072,"2016-04-30 00:00:00",1,12.0333,16.0167,3.98333,Saturday,722,961,239
1844505072,"2016-05-01 00:00:00",1,9.83333,16.0167,6.18333,Sunday,590,961,371
1927972279,"2016-04-12 00:00:00",3,12.5,12.9167,0.416667,Tuesday,750,775,25
1927972279,"2016-04-13 00:00:00",1,6.63333,7.03333,0.4,Wednesday,398,422,24
1927972279,"2016-04-15 00:00:00",2,7.91667,8.31667,0.4,Friday,475,499,24
1927972279,"2016-04-26 00:00:00",1,4.93333,5.25,0.316667,Tuesday,296,315,19
1927972279,"2016-04-28 00:00:00",1,2.76667,2.96667,0.2,Thursday,166,178,12
2026352035,"2016-04-12 00:00:00",1,8.38333,9.1,0.716667,Tuesday,503,546,43
2026352035,"2016-04-13 00:00:00",1,8.85,9.41667,0.566667,Wednesday,531,565,34
2026352035,"2016-04-14 00:00:00",1,9.08333,9.46667,0.383333,Thursday,545,568,23
2026352035,"2016-04-15 00:00:00",1,8.71667,9.55,0.833333,Friday,523,573,50
2026352035,"2016-04-16 00:00:00",1,8.73333,9.45,0.716667,Saturday,524,567,43
2026352035,"2016-04-17 00:00:00",1,7.28333,8.3,1.01667,Sunday,437,498,61
2026352035,"2016-04-19 00:00:00",1,8.3,9,0.7,Tuesday,498,540,42
2026352035,"2016-04-20 00:00:00",1,7.68333,8.5,0.816667,Wednesday,461,510,49
2026352035,"2016-04-21 00:00:00",1,7.95,8.56667,0.616667,Thursday,477,514,37
2026352035,"2016-04-22 00:00:00",1,8.66667,9.08333,0.416667,Friday,520,545,25
2026352035,"2016-04-23 00:00:00",1,8.7,9.23333,0.533333,Saturday,522,554,32
2026352035,"2016-04-24 00:00:00",1,9.25,9.85,0.6,Sunday,555,591,36
2026352035,"2016-04-25 00:00:00",1,8.43333,8.85,0.416667,Monday,506,531,25
2026352035,"2016-04-27 00:00:00",1,8.46667,9.08333,0.616667,Wednesday,508,545,37
2026352035,"2016-04-28 00:00:00",1,8.55,9.08333,0.533333,Thursday,513,545,32
2026352035,"2016-04-29 00:00:00",1,8.16667,8.5,0.333333,Friday,490,510,20
2026352035,"2016-04-30 00:00:00",1,9.55,10.1167,0.566667,Saturday,573,607,34
2026352035,"2016-05-01 00:00:00",1,8.78333,9.1,0.316667,Sunday,527,546,19
2026352035,"2016-05-02 00:00:00",1,8.51667,9.05,0.533333,Monday,511,543,32
2026352035,"2016-05-04 00:00:00",1,8.96667,9.33333,0.366667,Wednesday,538,560,22
2026352035,"2016-05-05 00:00:00",1,7.8,8.08333,0.283333,Thursday,468,485,17
2026352035,"2016-05-06 00:00:00",1,8.73333,9.13333,0.4,Friday,524,548,24
2026352035,"2016-05-07 00:00:00",1,8.51667,8.68333,0.166667,Saturday,511,521,10
2026352035,"2016-05-08 00:00:00",1,9.01667,9.46667,0.45,Sunday,541,568,27
2026352035,"2016-05-09 00:00:00",1,8.85,9.26667,0.416667,Monday,531,556,25
2026352035,"2016-05-10 00:00:00",1,5.95,6.33333,0.383333,Tuesday,357,380,23
2026352035,"2016-05-11 00:00:00",1,8.71667,9.21667,0.5,Wednesday,523,553,30
2026352035,"2016-05-12 00:00:00",1,7.6,8.08333,0.483333,Thursday,456,485,29
2320127002,"2016-04-23 00:00:00",1,1.01667,1.15,0.133333,Saturday,61,69,8
2347167796,"2016-04-13 00:00:00",1,7.78333,8.85,1.06667,Wednesday,467,531,64
2347167796,"2016-04-14 00:00:00",1,7.41667,8.15,0.733333,Thursday,445,489,44
2347167796,"2016-04-15 00:00:00",1,7.53333,8.4,0.866667,Friday,452,504,52
2347167796,"2016-04-17 00:00:00",1,9.26667,10.0333,0.766667,Sunday,556,602,46
2347167796,"2016-04-18 00:00:00",1,8.33333,9.28333,0.95,Monday,500,557,57
2347167796,"2016-04-19 00:00:00",1,7.75,8.56667,0.816667,Tuesday,465,514,49
2347167796,"2016-04-21 00:00:00",1,7.66667,8.06667,0.4,Thursday,460,484,24
2347167796,"2016-04-22 00:00:00",1,6.75,7.68333,0.933333,Friday,405,461,56
2347167796,"2016-04-23 00:00:00",1,6.23333,6.43333,0.2,Saturday,374,386,12
2347167796,"2016-04-24 00:00:00",1,7.36667,7.65,0.283333,Sunday,442,459,17
2347167796,"2016-04-25 00:00:00",1,7.21667,7.85,0.633333,Monday,433,471,38
2347167796,"2016-04-26 00:00:00",1,7.26667,8.16667,0.9,Tuesday,436,490,54
2347167796,"2016-04-27 00:00:00",1,7.46667,8.31667,0.85,Wednesday,448,499,51
2347167796,"2016-04-28 00:00:00",1,6.8,7.5,0.7,Thursday,408,450,42
2347167796,"2016-04-29 00:00:00",1,6.85,7.88333,1.03333,Friday,411,473,62
3977333714,"2016-04-12 00:00:00",1,4.56667,7.81667,3.25,Tuesday,274,469,195
3977333714,"2016-04-13 00:00:00",2,4.91667,7.6,2.68333,Wednesday,295,456,161
3977333714,"2016-04-14 00:00:00",1,4.85,6.61667,1.76667,Thursday,291,397,106
3977333714,"2016-04-15 00:00:00",1,7.06667,9.26667,2.2,Friday,424,556,132
3977333714,"2016-04-16 00:00:00",1,4.71667,8.5,3.78333,Saturday,283,510,227
3977333714,"2016-04-17 00:00:00",1,6.35,9.43333,3.08333,Sunday,381,566,185
3977333714,"2016-04-18 00:00:00",2,6.86667,8.7,1.83333,Monday,412,522,110
3977333714,"2016-04-19 00:00:00",1,3.65,6.58333,2.93333,Tuesday,219,395,176
3977333714,"2016-04-20 00:00:00",2,2.53333,5.08333,2.55,Wednesday,152,305,153
3977333714,"2016-04-21 00:00:00",1,5.53333,8.53333,3,Thursday,332,512,180
3977333714,"2016-04-22 00:00:00",1,5.91667,7.93333,2.01667,Friday,355,476,121
3977333714,"2016-04-23 00:00:00",1,3.91667,6.2,2.28333,Saturday,235,372,137
3977333714,"2016-04-24 00:00:00",1,5.16667,8.76667,3.6,Sunday,310,526,216
3977333714,"2016-04-25 00:00:00",1,4.36667,7.78333,3.41667,Monday,262,467,205
3977333714,"2016-04-26 00:00:00",1,4.16667,6.18333,2.01667,Tuesday,250,371,121
3977333714,"2016-04-27 00:00:00",1,5.81667,9,3.18333,Wednesday,349,540,191
3977333714,"2016-04-28 00:00:00",1,4.35,7.05,2.7,Thursday,261,423,162
3977333714,"2016-04-29 00:00:00",1,5.55,7.96667,2.41667,Friday,333,478,145
